district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,no,Sandra Lee,Fewer,female,asian-american,,2017-01-01,2021-01-01,supervisor,democrat,Sandra.Fewer@sfgov.org,415-554-7410,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",https://twitter.com/SandraLeeFewer,https://www.facebook.com/SandraLeeFewer/,https://pbs.twimg.com/profile_images/801133662813069312/jU28a82t.jpg
2,no,Mark,Farrell,male,white-american,,2011-01-01,2021-01-01,supervisor,democrat,Mark.Farrell@sfgov.org,415-554-7752,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",https://twitter.com/MarkFarrellSF,https://www.facebook.com/markfarrellsf,http://sfbos.org/sites/default/files/farrell.jpg
3,no,Aaron,Peskin,male,white-american,,2016-11-01,2020-01-01,supervisor,democrat,Aaron.Peskin@sfgov.org,415-554-7450,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",https://twitter.com/AaronPeskin,,http://sfbos.org/sites/default/files/peskin.jpg
4,no,Katy,Tang ,female,asian-american,1983-12-10,2014-11-01,2019-11-01,supervisor,democrat,Katy.Tang@sfgov.org,415-554-7460,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",https://twitter.com/supervisortang,,http://sfbos.org/sites/default/files/tang.jpg
5,no,London,Breed,female,african-american,,2015-01-08,2019-01-08,president,democrat,london.breed@sfgov.org,415-554-7630,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",https://twitter.com/londonbreed,,https://pbs.twimg.com/profile_images/738388459744681985/hLjzeeQL.jpg
6,no,Jane,Kim,female,asian-american,,2011-01-08,2019-01-01,supervisor,democrat,jane.Kim@sfgov.org,415-554-7970,"1 Dr. Carlton B. Goodlett Place, Room, San Francisco, Ca 94102-4689",https://twitter.com/janekim,https://www.facebook.com/JaneKimCA/,https://www.flickr.com/photos/142179304@N06/26177700214/
7,no,Norman,Yee,male,asian-american,,2013-01-08,2021-01-08,supervisor,democrat,Norman.Yee@sfgov.org,415-554-6516,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",https://twitter.com/NormanYeeSF,https://www.facebook.com/NormanYeeSF,https://pbs.twimg.com/profile_images/720760086461702145/qqy8NIBi.jpg
8,no,Jeff,Sheehy,male,white-american,,2017-01-09,2021-01-08,supervisor,democrat,jeff.sheehy@sfgov.org,415-554-6968,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",https://twitter.com/jeffsheehysf,,https://pbs.twimg.com/profile_images/2392023153/TwitterFoto.jpg
9,no,Hillary,Ronen,female,white-american,,2017-01-09,2021-01-08,supervisor,democrat,Carolina.Morales@sfgov.org,415-554-7743,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",https://twitter.com/HillaryRonen,,
10,no,Malia,Cohen,female,african-american,,2011-01-08,2019-01-01,supervisor,democrat,maila.cohen@sfgov.org,415-554-7670,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",https://twitter.com/maliacohen,https://www.facebook.com/MaliaCohen,https://pbs.twimg.com/profile_images/537290046382931969/uFC_5-Ek.jpeg
11,no,Ahsha,Safai,female,asian-american,,2017-01-09,2021-01-09,supervisor,democrat,ahsha.safai@sfgov.org,415-554-6975,"1 Dr. Carlton B. Goodlett Place, Room 244, San Francisco, Ca 94102-4689",,,
